,rank,last_week_rank,hmm,title,artist,label,peak_rank,weeks_on_chart,week_of
14145,46,            40,        ,SUPERMARKET FLOWERS,ED SHEERAN,ASYLUM,8,6,April 14 2017
14146,47,            61,        ,I FEEL IT COMING,WEEKND FT DAFT PUNK,REPUBLIC RECORDS/XO,9,21,April 14 2017
14147,48,            43,        ,NANCY MULLIGAN,ED SHEERAN,ASYLUM,13,6,April 14 2017
14148,49,            55,        ,RUN UP,MAJORLAZER/PARTYNEXTDOOR/MINAJ,BECAUSE MUSIC,20,11,April 14 2017
14149,50,            51,        ,BEST BEHAVIOUR,LOUISA JOHNSON,SYCO MUSIC,48,5,April 14 2017
14150,51,            54,        ,NO PROMISES,CHEAT CODES FT DEMI LOVATO,PARLOPHONE,51,2,April 14 2017
14151,52,            44,        ,GET IT TOGETHER,DRAKE/BLACK COFFEE/JORJA SMITH,CASH MONEY/REPUBLIC RECORDS,24,4,April 14 2017
14152,53,            46,        ,HOW WOULD YOU FEEL (PAEAN),ED SHEERAN,ASYLUM,2,8,April 14 2017
14153,54,            48,        ,PORTLAND,DRAKE FT QUAVO & TRAVIS SCOTT,CASH MONEY/REPUBLIC RECORDS,27,4,April 14 2017
14154,55,            49,        ,FAKE LOVE,DRAKE,CASH MONEY/REPUBLIC RECORDS,10,25,April 14 2017
14155,56,            68,        ,I WOULD LIKE,ZARA LARSSON,BLACK BUTTER/EPIC/TEN,2,22,April 14 2017
14156,57,            66,        ,NO LIE,SEAN PAUL FT DUA LIPA,ISLAND,10,21,April 14 2017
14157,58,            88,        ,COME CLOSER,WIZKID FT DRAKE,RCA/STARBOY,58,2,April 14 2017
14158,59,            70,        ,ISPY,KYLE FT LIL YACHTY,ATLANTIC,59,5,April 14 2017
14159,60,            65,        ,CLOSER,CHAINSMOKERS FT HALSEY,DISRUPTOR,1,37,April 14 2017
14160,61,            72,        ,STARBOY,WEEKND FT DAFT PUNK,REPUBLIC RECORDS/XO,2,29,April 14 2017
14161,62,            New,        ,DIE WITH YOU,BEYONCE,COLUMBIA,62,1,April 14 2017
14162,63,            84,        ,THE ONE,CHAINSMOKERS,DISRUPTOR,63,2,April 14 2017
14163,64,            58,        ,I DON'T WANNA LIVE FOREVER (FIFTY SHADES,ZAYN/TAYLOR SWIFT,RCA/REPUBLIC RECORDS,5,18,April 14 2017
14164,65,            53,        ,MADIBA RIDDIM,DRAKE,CASH MONEY/REPUBLIC RECORDS,31,4,April 14 2017
14165,66,            67,        ,SEXUAL,NEIKED,NEIKED COLLECTIVE,5,33,April 14 2017
14166,67,            52,        ,GYALCHESTER,DRAKE,CASH MONEY/REPUBLIC RECORDS,32,4,April 14 2017
14167,68,            71,        ,CAN'T STOP THE FEELING,JUSTIN TIMBERLAKE,RCA,2,49,April 14 2017
14168,69,            47,        ,WATERFALL,STARGATE FT PINK & SIA,INTERSTELLAR MUSIC/RCA,47,5,April 14 2017
14169,70,            56,        ,BIBIA BE YE YE,ED SHEERAN,ASYLUM,18,6,April 14 2017
14170,71,            76,        ,PLAY THAT SONG,TRAIN,COLUMBIA,21,11,April 14 2017
14171,72,            64,        ,SAY YOU WON'T LET GO,JAMES ARTHUR,COLUMBIA,1,31,April 14 2017
14172,73,            62,        ,ERASER,ED SHEERAN,ASYLUM,14,6,April 14 2017
14173,74,            59,        ,HEARTS DON'T BREAK AROUND HERE,ED SHEERAN,ASYLUM,15,6,April 14 2017
14174,75,            57,        ,NO LONG TALK,DRAKE FT GIGGS,CASH MONEY/REPUBLIC RECORDS,17,4,April 14 2017
14175,76,            79,        ,ONE DANCE,DRAKE FT WIZKID & KYLA,CASH MONEY/REPUBLIC RECORDS,1,54,April 14 2017
14176,77,            87,        ,24K MAGIC,BRUNO MARS,ATLANTIC,5,27,April 14 2017
14177,78,            60,        ,TEENAGE FEVER,DRAKE,CASH MONEY/REPUBLIC RECORDS,37,4,April 14 2017
14178,79,            73,        ,BELIEVER,IMAGINE DRAGONS,INTERSCOPE,42,10,April 14 2017
14179,80,            75,        ,SHOUT OUT TO MY EX,LITTLE MIX,SYCO MUSIC,1,26,April 14 2017
14180,81,            63,        ,SKEPTA INTERLUDE,DRAKE,CASH MONEY/REPUBLIC RECORDS,35,4,April 14 2017
14181,82,            New,        ,NOW OR NEVER,HALSEY,CAPITOL,82,1,April 14 2017
14182,83,            89,        ,YOU WANT ME,TOM ZANETTI FT SADIE AMA,PITCHED UP,22,25,April 14 2017
14183,84,            99,        ,HOW FAR I'LL GO,AULI'I CRAVALHO,WALT DISNEY,84,6,April 14 2017
14184,85,            77,        ,SAVE MYSELF,ED SHEERAN,ASYLUM,19,6,April 14 2017
14185,86,            New,        ,PASSPORT HOME,JP COOPER,ISLAND,86,1,April 14 2017
14186,87,            69,        ,4422,DRAKE FT SAMPHA,CASH MONEY/REPUBLIC RECORDS,39,4,April 14 2017
14187,88,            86,        ,STARVING,HAILEE STEINFELD/GREY/ZEDD,REPUBLIC RECORDS,5,35,April 14 2017
14188,89,            85,        ,HOW FAR I'LL GO,ALESSIA CARA,WALT DISNEY,49,13,April 14 2017
14189,90,            74,        ,FREE SMOKE,DRAKE,CASH MONEY/REPUBLIC RECORDS,36,4,April 14 2017
14190,91,            Re,        ,ALL NIGHT,VAMPS FT MATOMA,EMI,24,25,April 14 2017
14191,92,            95,        ,MR BRIGHTSIDE,KILLERS,MERCURY,10,164,April 14 2017
14192,93,            97,        ,SAMANTHA,DAVE & J HUS,TROPICS,63,9,April 14 2017
14193,94,            92,        ,CHEAP THRILLS,SIA,MONKEY PUZZLE/RCA,2,61,April 14 2017
14194,95,            80,        ,JORJA INTERLUDE,DRAKE,CASH MONEY/REPUBLIC RECORDS,42,4,April 14 2017
14195,96,            Re,        ,DON'T LET ME DOWN,CHAINSMOKERS FT DAYA,DISRUPTOR,2,50,April 14 2017
14196,97,            New,        ,XO TOUR LLIF3,LIL UZI VERT,ATLANTIC,97,1,April 14 2017
14197,98,            93,        ,BAD AND BOUJEE,MIGOS,QUALITY CONTROL MUSIC,30,15,April 14 2017
14198,99,            98,        ,LET ME LOVE YOU,DJ SNAKE FT JUSTIN BIEBER,INTERSCOPE,2,34,April 14 2017
14199,100,            Re,        ,BY YOUR SIDE,JONAS BLUE FT RAYE,POSITIVA,15,21,April 14 2017
14200,1,            1,        ,SHAPE OF YOU,ED SHEERAN,ASYLUM,1,13,April 07 2017
14201,2,            2,        ,GALWAY GIRL,ED SHEERAN,ASYLUM,2,5,April 07 2017
14202,3,            4,        ,SYMPHONY,CLEAN BANDIT FT ZARA LARSSON,ATLANTIC,3,3,April 07 2017
14203,4,            3,        ,PASSIONFRUIT,DRAKE,CASH MONEY/REPUBLIC RECORDS,3,3,April 07 2017
14204,5,            6,        ,SOMETHING JUST LIKE THIS,CHAINSMOKERS & COLDPLAY,DISRUPTOR,2,7,April 07 2017
14205,6,            5,        ,CASTLE ON THE HILL,ED SHEERAN,ASYLUM,2,13,April 07 2017
14206,7,            7,        ,IT AIN'T ME,KYGO & SELENA GOMEZ,COLUMBIA,7,7,April 07 2017
14207,8,            8,        ,SOLO DANCE,MARTIN JENSEN,DISCOWAX,8,11,April 07 2017
14208,9,            11,        ,STAY,ZEDD & ALESSIA CARA,INTERSCOPE,9,6,April 07 2017
14209,10,            13,        ,ISSUES,JULIA MICHAELS,POLYDOR,10,11,April 07 2017
14210,11,            17,        ,CHAINED TO THE RHYTHM,KATY PERRY FT SKIP MARLEY,CAPITOL,5,8,April 07 2017
14211,12,            14,        ,SLIDE,CALVIN HARRIS/OCEAN/MIGOS,COLUMBIA,10,6,April 07 2017
14212,13,            9,        ,CIAO ADIOS,ANNE-MARIE,ASYLUM/MAJOR TOM’S,9,8,April 07 2017
14213,14,            15,        ,THAT'S WHAT I LIKE,BRUNO MARS,ATLANTIC,14,7,April 07 2017
14214,15,            18,        ,YOU DON'T KNOW ME,JAX JONES FT RAYE,POLYDOR,3,17,April 07 2017
14215,16,            12,        ,PERFECT,ED SHEERAN,ASYLUM,4,5,April 07 2017
14216,17,            51,        ,NO MORE SAD SONGS,LITTLE MIX,SYCO MUSIC,17,5,April 07 2017
14217,18,            20,        ,SCARED TO BE LONELY,MARTIN GARRIX & DUA LIPA,COLUMBIA,14,10,April 07 2017
14218,19,            10,        ,BLEM,DRAKE,CASH MONEY/REPUBLIC RECORDS,10,3,April 07 2017
14219,20,            16,        ,HUMAN,RAG'N'BONE MAN,BEST LAID PLANS/COLUMBIA,2,20,April 07 2017
14220,21,            New,        ,HUMBLE,KENDRICK LAMAR,AFTERMATH/INTERSCOPE,21,1,April 07 2017
14221,22,            19,        ,NEW MAN,ED SHEERAN,ASYLUM,5,5,April 07 2017
14222,23,            30,        ,SKIN,RAG'N'BONE MAN,BEST LAID PLANS/COLUMBIA,18,10,April 07 2017
14223,24,            24,        ,STILL GOT TIME,ZAYN FT PARTYNEXTDOOR,RCA,24,2,April 07 2017
14224,25,            New,        ,HEATSTROKE,HARRIS/THUG/PHARRELL/GRANDE,COLUMBIA,25,1,April 07 2017
14225,26,            23,        ,HAPPIER,ED SHEERAN,ASYLUM,6,5,April 07 2017
14226,27,            26,        ,GREEN LIGHT,LORDE,VIRGIN,26,5,April 07 2017
14227,28,            29,        ,PARIS,CHAINSMOKERS,DISRUPTOR,5,12,April 07 2017
14228,29,            22,        ,WHAT DO I KNOW,ED SHEERAN,ASYLUM,9,5,April 07 2017
14229,30,            38,        ,TOUCH,LITTLE MIX,SYCO MUSIC,4,18,April 07 2017
14230,31,            31,        ,BIG FOR YOUR BOOTS,STORMZY,MERKY,6,9,April 07 2017
14231,32,            44,        ,CALL ON ME,STARLEY,AATW,6,21,April 07 2017
14232,33,            56,        ,MASK OFF,FUTURE,RCA,33,5,April 07 2017
14233,34,            57,        ,SWALLA,JASON DERULO/NICKI MINAJ/TY,WARNER BROS,34,6,April 07 2017
14234,35,            21,        ,KMT,DRAKE FT GIGGS,CASH MONEY/REPUBLIC RECORDS,9,3,April 07 2017
14235,36,            40,        ,SEPTEMBER SONG,JP COOPER,ISLAND,7,19,April 07 2017
14236,37,            36,        ,BE THE ONE,DUA LIPA,WARNER BROS,9,12,April 07 2017
14237,38,            27,        ,DIVE,ED SHEERAN,ASYLUM,8,5,April 07 2017
14238,39,            42,        ,COLD,MAROON 5 FT FUTURE,INTERSCOPE,24,7,April 07 2017
14239,40,            28,        ,SUPERMARKET FLOWERS,ED SHEERAN,ASYLUM,8,5,April 07 2017
14240,41,            33,        ,BARCELONA,ED SHEERAN,ASYLUM,12,5,April 07 2017
14241,42,            45,        ,PLACES,MARTIN SOLVEIG & INA WROLDSEN,POSITIVA,42,5,April 07 2017
14242,43,            35,        ,NANCY MULLIGAN,ED SHEERAN,ASYLUM,13,5,April 07 2017
14243,44,            25,        ,GET IT TOGETHER,DRAKE/BLACK COFFEE/JORJA SMITH,CASH MONEY/REPUBLIC RECORDS,24,3,April 07 2017
14244,45,            53,        ,ROCKABYE,CLEAN BANDIT,ATLANTIC,1,24,April 07 2017
14245,46,            41,        ,HOW WOULD YOU FEEL (PAEAN),ED SHEERAN,ASYLUM,2,7,April 07 2017
14246,47,            85,        ,WATERFALL,STARGATE FT PINK & SIA,INTERSTELLAR MUSIC/RCA,47,4,April 07 2017
14247,48,            32,        ,PORTLAND,DRAKE FT QUAVO & TRAVIS SCOTT,CASH MONEY/REPUBLIC RECORDS,27,3,April 07 2017
14248,49,            48,        ,FAKE LOVE,DRAKE,CASH MONEY/REPUBLIC RECORDS,10,24,April 07 2017
14249,50,            62,        ,DID YOU SEE,J HUS,BLACK BUTTER,50,5,April 07 2017
14250,51,            67,        ,BEST BEHAVIOUR,LOUISA JOHNSON,SYCO MUSIC,48,4,April 07 2017
14251,52,            39,        ,GYALCHESTER,DRAKE,CASH MONEY/REPUBLIC RECORDS,32,3,April 07 2017
14252,53,            34,        ,MADIBA RIDDIM,DRAKE,CASH MONEY/REPUBLIC RECORDS,31,3,April 07 2017
14253,54,            New,        ,NO PROMISES,CHEAT CODES FT DEMI LOVATO,PARLOPHONE,54,1,April 07 2017
14254,55,            63,        ,RUN UP,MAJORLAZER/PARTYNEXTDOOR/MINAJ,BECAUSE MUSIC,20,10,April 07 2017
14255,56,            49,        ,BIBIA BE YE YE,ED SHEERAN,ASYLUM,18,5,April 07 2017
14256,57,            37,        ,NO LONG TALK,DRAKE FT GIGGS,CASH MONEY/REPUBLIC RECORDS,17,3,April 07 2017
14257,58,            58,        ,I DON'T WANNA LIVE FOREVER (FIFTY SHADES,ZAYN/TAYLOR SWIFT,RCA/REPUBLIC RECORDS,5,17,April 07 2017
14258,59,            50,        ,HEARTS DON'T BREAK AROUND HERE,ED SHEERAN,ASYLUM,15,5,April 07 2017
14259,60,            43,        ,TEENAGE FEVER,DRAKE,CASH MONEY/REPUBLIC RECORDS,37,3,April 07 2017
14260,61,            59,        ,I FEEL IT COMING,WEEKND FT DAFT PUNK,REPUBLIC RECORDS/XO,9,20,April 07 2017
14261,62,            54,        ,ERASER,ED SHEERAN,ASYLUM,14,5,April 07 2017
14262,63,            46,        ,SKEPTA INTERLUDE,DRAKE,CASH MONEY/REPUBLIC RECORDS,35,3,April 07 2017
14263,64,            66,        ,SAY YOU WON'T LET GO,JAMES ARTHUR,COLUMBIA,1,30,April 07 2017
14264,65,            74,        ,CLOSER,CHAINSMOKERS FT HALSEY,DISRUPTOR,1,36,April 07 2017
14265,66,            68,        ,NO LIE,SEAN PAUL FT DUA LIPA,ISLAND,10,20,April 07 2017
14266,67,            73,        ,SEXUAL,NEIKED,NEIKED COLLECTIVE,5,32,April 07 2017
14267,68,            72,        ,I WOULD LIKE,ZARA LARSSON,BLACK BUTTER/EPIC/TEN,2,21,April 07 2017
14268,69,            47,        ,4422,DRAKE FT SAMPHA,CASH MONEY/REPUBLIC RECORDS,39,3,April 07 2017
14269,70,            83,        ,ISPY,KYLE FT LIL YACHTY,ATLANTIC,70,4,April 07 2017
14270,71,            78,        ,CAN'T STOP THE FEELING,JUSTIN TIMBERLAKE,RCA,2,48,April 07 2017
14271,72,            75,        ,STARBOY,WEEKND FT DAFT PUNK,REPUBLIC RECORDS/XO,2,28,April 07 2017
14272,73,            79,        ,BELIEVER,IMAGINE DRAGONS,INTERSCOPE,42,9,April 07 2017
14273,74,            52,        ,FREE SMOKE,DRAKE,CASH MONEY/REPUBLIC RECORDS,36,3,April 07 2017
14274,75,            82,        ,SHOUT OUT TO MY EX,LITTLE MIX,SYCO MUSIC,1,25,April 07 2017
14275,76,            71,        ,PLAY THAT SONG,TRAIN,COLUMBIA,21,10,April 07 2017
14276,77,            65,        ,SAVE MYSELF,ED SHEERAN,ASYLUM,19,5,April 07 2017
14277,78,            New,        ,UNSTEADY,M O,POLYDOR,78,1,April 07 2017
14278,79,            84,        ,ONE DANCE,DRAKE FT WIZKID & KYLA,CASH MONEY/REPUBLIC RECORDS,1,53,April 07 2017
14279,80,            55,        ,JORJA INTERLUDE,DRAKE,CASH MONEY/REPUBLIC RECORDS,42,3,April 07 2017
14280,81,            New,        ,ON MY MIND,DISCIPLES,PARLOPHONE,81,1,April 07 2017
14281,82,            64,        ,LIGHT MY BODY UP,DAVID GUETTA/N MINAJ/LIL WAYNE,PARLOPHONE,64,2,April 07 2017
14282,83,            60,        ,SACRIFICES,DRAKE FT 2 CHAINZ & YOUNG THUG,CASH MONEY/REPUBLIC RECORDS,51,3,April 07 2017
14283,84,            New,        ,THE ONE,CHAINSMOKERS,DISRUPTOR,84,1,April 07 2017
14284,85,            Re,        ,HOW FAR I'LL GO,ALESSIA CARA,WALT DISNEY,49,12,April 07 2017
14285,86,            93,        ,STARVING,HAILEE STEINFELD/GREY/ZEDD,REPUBLIC RECORDS,5,34,April 07 2017
14286,87,            95,        ,24K MAGIC,BRUNO MARS,ATLANTIC,5,26,April 07 2017
14287,88,            New,        ,COME CLOSER,WIZKID FT DRAKE,RCA/STARBOY,88,1,April 07 2017
14288,89,            90,        ,YOU WANT ME,TOM ZANETTI FT SADIE AMA,PITCHED UP,22,24,April 07 2017
14289,90,            86,        ,PRIVACY,CHRIS BROWN,RCA,86,2,April 07 2017
14290,91,            69,        ,DO NOT DISTURB,DRAKE,CASH MONEY/REPUBLIC RECORDS,61,3,April 07 2017
14291,92,            99,        ,CHEAP THRILLS,SIA,MONKEY PUZZLE/RCA,2,60,April 07 2017
14292,93,            96,        ,BAD AND BOUJEE,MIGOS,QUALITY CONTROL MUSIC,30,14,April 07 2017
14293,94,            94,        ,SAFE INSIDE,JAMES ARTHUR,SYCO MUSIC,31,10,April 07 2017
14294,95,            Re,        ,MR BRIGHTSIDE,KILLERS,MERCURY,10,163,April 07 2017
14295,96,            100,        ,THINKING OUT LOUD,ED SHEERAN,ASYLUM,1,117,April 07 2017
14296,97,            Re,        ,SAMANTHA,DAVE & J HUS,TROPICS,63,8,April 07 2017
14297,98,            Re,        ,LET ME LOVE YOU,DJ SNAKE FT JUSTIN BIEBER,INTERSCOPE,2,33,April 07 2017
14298,99,            Re,        ,HOW FAR I'LL GO,AULI'I CRAVALHO,WALT DISNEY,87,5,April 07 2017
14299,100,            70,        ,LOSE YOU,DRAKE,CASH MONEY/REPUBLIC RECORDS,54,3,April 07 2017
14300,1,            1,        ,SHAPE OF YOU,ED SHEERAN,ASYLUM,1,12,March 31 2017
14301,2,            2,        ,GALWAY GIRL,ED SHEERAN,ASYLUM,2,4,March 31 2017
14302,3,            4,        ,PASSIONFRUIT,DRAKE,CASH MONEY/REPUBLIC RECORDS,3,2,March 31 2017
14303,4,            6,        ,SYMPHONY,CLEAN BANDIT FT ZARA LARSSON,ATLANTIC,4,2,March 31 2017
14304,5,            3,        ,CASTLE ON THE HILL,ED SHEERAN,ASYLUM,2,12,March 31 2017
14305,6,            5,        ,SOMETHING JUST LIKE THIS,CHAINSMOKERS & COLDPLAY,DISRUPTOR,2,6,March 31 2017
14306,7,            19,        ,IT AIN'T ME,KYGO & SELENA GOMEZ,COLUMBIA,7,6,March 31 2017
14307,8,            8,        ,SOLO DANCE,MARTIN JENSEN,DISCOWAX,8,10,March 31 2017
14308,9,            10,        ,CIAO ADIOS,ANNE-MARIE,ASYLUM/MAJOR TOM’S,9,7,March 31 2017
14309,10,            14,        ,BLEM,DRAKE,CASH MONEY/REPUBLIC RECORDS,10,2,March 31 2017
14310,11,            12,        ,STAY,ZEDD & ALESSIA CARA,INTERSCOPE,11,5,March 31 2017
14311,12,            7,        ,PERFECT,ED SHEERAN,ASYLUM,4,4,March 31 2017
14312,13,            28,        ,ISSUES,JULIA MICHAELS,POLYDOR,13,10,March 31 2017
14313,14,            18,        ,SLIDE,CALVIN HARRIS/OCEAN/MIGOS,COLUMBIA,10,5,March 31 2017
14314,15,            25,        ,THAT'S WHAT I LIKE,BRUNO MARS,ATLANTIC,15,6,March 31 2017
14315,16,            20,        ,HUMAN,RAG'N'BONE MAN,BEST LAID PLANS/COLUMBIA,2,19,March 31 2017
14316,17,            13,        ,CHAINED TO THE RHYTHM,KATY PERRY FT SKIP MARLEY,CAPITOL,5,7,March 31 2017
14317,18,            15,        ,YOU DON'T KNOW ME,JAX JONES FT RAYE,POLYDOR,3,16,March 31 2017
14318,19,            11,        ,NEW MAN,ED SHEERAN,ASYLUM,5,4,March 31 2017
14319,20,            30,        ,SCARED TO BE LONELY,MARTIN GARRIX & DUA LIPA,COLUMBIA,14,9,March 31 2017
14320,21,            9,        ,KMT,DRAKE FT GIGGS,CASH MONEY/REPUBLIC RECORDS,9,2,March 31 2017
14321,22,            21,        ,WHAT DO I KNOW,ED SHEERAN,ASYLUM,9,4,March 31 2017
14322,23,            16,        ,HAPPIER,ED SHEERAN,ASYLUM,6,4,March 31 2017
14323,24,            New,        ,STILL GOT TIME,ZAYN FT PARTYNEXTDOOR,RCA,24,1,March 31 2017
14324,25,            24,        ,GET IT TOGETHER,DRAKE/BLACK COFFEE/JORJA SMITH,CASH MONEY/REPUBLIC RECORDS,24,2,March 31 2017
14325,26,            40,        ,GREEN LIGHT,LORDE,VIRGIN,26,4,March 31 2017
14326,27,            23,        ,DIVE,ED SHEERAN,ASYLUM,8,4,March 31 2017
14327,28,            22,        ,SUPERMARKET FLOWERS,ED SHEERAN,ASYLUM,8,4,March 31 2017
14328,29,            38,        ,PARIS,CHAINSMOKERS,DISRUPTOR,5,11,March 31 2017
14329,30,            60,        ,SKIN,RAG'N'BONE MAN,BEST LAID PLANS/COLUMBIA,18,9,March 31 2017
14330,31,            33,        ,BIG FOR YOUR BOOTS,STORMZY,MERKY,6,8,March 31 2017
14331,32,            27,        ,PORTLAND,DRAKE FT QUAVO & TRAVIS SCOTT,CASH MONEY/REPUBLIC RECORDS,27,2,March 31 2017
14332,33,            26,        ,BARCELONA,ED SHEERAN,ASYLUM,12,4,March 31 2017
14333,34,            31,        ,MADIBA RIDDIM,DRAKE,CASH MONEY/REPUBLIC RECORDS,31,2,March 31 2017
14334,35,            29,        ,NANCY MULLIGAN,ED SHEERAN,ASYLUM,13,4,March 31 2017
14335,36,            44,        ,BE THE ONE,DUA LIPA,WARNER BROS,9,11,March 31 2017
14336,37,            17,        ,NO LONG TALK,DRAKE FT GIGGS,CASH MONEY/REPUBLIC RECORDS,17,2,March 31 2017
14337,38,            41,        ,TOUCH,LITTLE MIX,SYCO MUSIC,4,17,March 31 2017
14338,39,            32,        ,GYALCHESTER,DRAKE,CASH MONEY/REPUBLIC RECORDS,32,2,March 31 2017
14339,40,            48,        ,SEPTEMBER SONG,JP COOPER,ISLAND,7,18,March 31 2017
14340,41,            34,        ,HOW WOULD YOU FEEL (PAEAN),ED SHEERAN,ASYLUM,2,6,March 31 2017
14341,42,            47,        ,COLD,MAROON 5 FT FUTURE,INTERSCOPE,24,6,March 31 2017
14342,43,            37,        ,TEENAGE FEVER,DRAKE,CASH MONEY/REPUBLIC RECORDS,37,2,March 31 2017
14343,44,            50,        ,CALL ON ME,STARLEY,AATW,6,20,March 31 2017
14344,45,            52,        ,PLACES,MARTIN SOLVEIG & INA WROLDSEN,POSITIVA,45,4,March 31 2017
14345,46,            35,        ,SKEPTA INTERLUDE,DRAKE,CASH MONEY/REPUBLIC RECORDS,35,2,March 31 2017
14346,47,            39,        ,4422,DRAKE FT SAMPHA,CASH MONEY/REPUBLIC RECORDS,39,2,March 31 2017
14347,48,            43,        ,FAKE LOVE,DRAKE,CASH MONEY/REPUBLIC RECORDS,10,23,March 31 2017
14348,49,            46,        ,BIBIA BE YE YE,ED SHEERAN,ASYLUM,18,4,March 31 2017
14349,50,            45,        ,HEARTS DON'T BREAK AROUND HERE,ED SHEERAN,ASYLUM,15,4,March 31 2017
14350,51,            89,        ,NO MORE SAD SONGS,LITTLE MIX,SYCO MUSIC,39,4,March 31 2017
14351,52,            36,        ,FREE SMOKE,DRAKE,CASH MONEY/REPUBLIC RECORDS,36,2,March 31 2017
14352,53,            56,        ,ROCKABYE,CLEAN BANDIT,ATLANTIC,1,23,March 31 2017
14353,54,            49,        ,ERASER,ED SHEERAN,ASYLUM,14,4,March 31 2017
14354,55,            42,        ,JORJA INTERLUDE,DRAKE,CASH MONEY/REPUBLIC RECORDS,42,2,March 31 2017
14355,56,            70,        ,MASK OFF,FUTURE,RCA,52,4,March 31 2017
14356,57,            74,        ,SWALLA,JASON DERULO/NICKI MINAJ/TY,WARNER BROS,43,5,March 31 2017
14357,58,            53,        ,I DON'T WANNA LIVE FOREVER (FIFTY SHADES,ZAYN/TAYLOR SWIFT,RCA/REPUBLIC RECORDS,5,16,March 31 2017
14358,59,            59,        ,I FEEL IT COMING,WEEKND FT DAFT PUNK,REPUBLIC RECORDS/XO,9,19,March 31 2017
14359,60,            51,        ,SACRIFICES,DRAKE FT 2 CHAINZ & YOUNG THUG,CASH MONEY/REPUBLIC RECORDS,51,2,March 31 2017
14360,61,            New,        ,THE HEART - PT 4,KENDRICK LAMAR,TOP DAWG,61,1,March 31 2017
14361,62,            77,        ,DID YOU SEE,J HUS,BLACK BUTTER,55,4,March 31 2017
14362,63,            64,        ,RUN UP,MAJORLAZER/PARTYNEXTDOOR/MINAJ,BECAUSE MUSIC,20,9,March 31 2017
14363,64,            New,        ,LIGHT MY BODY UP,DAVID GUETTA/N MINAJ/LIL WAYNE,PARLOPHONE,64,1,March 31 2017
14364,65,            57,        ,SAVE MYSELF,ED SHEERAN,ASYLUM,19,4,March 31 2017
14365,66,            68,        ,SAY YOU WON'T LET GO,JAMES ARTHUR,COLUMBIA,1,29,March 31 2017
14366,67,            69,        ,BEST BEHAVIOUR,LOUISA JOHNSON,SYCO MUSIC,48,3,March 31 2017
14367,68,            66,        ,NO LIE,SEAN PAUL FT DUA LIPA,ISLAND,10,19,March 31 2017
14368,69,            61,        ,DO NOT DISTURB,DRAKE,CASH MONEY/REPUBLIC RECORDS,61,2,March 31 2017
14369,70,            54,        ,LOSE YOU,DRAKE,CASH MONEY/REPUBLIC RECORDS,54,2,March 31 2017
14370,71,            76,        ,PLAY THAT SONG,TRAIN,COLUMBIA,21,9,March 31 2017
14371,72,            67,        ,I WOULD LIKE,ZARA LARSSON,BLACK BUTTER/EPIC/TEN,2,20,March 31 2017
14372,73,            75,        ,SEXUAL,NEIKED,NEIKED COLLECTIVE,5,31,March 31 2017
14373,74,            71,        ,CLOSER,CHAINSMOKERS FT HALSEY,DISRUPTOR,1,35,March 31 2017
14374,75,            73,        ,STARBOY,WEEKND FT DAFT PUNK,REPUBLIC RECORDS/XO,2,27,March 31 2017
14375,76,            55,        ,GLOW,DRAKE FT KANYE WEST,CASH MONEY/REPUBLIC RECORDS,55,2,March 31 2017
14376,77,            58,        ,CAN'T HAVE EVERYTHING,DRAKE,CASH MONEY/REPUBLIC RECORDS,58,2,March 31 2017
14377,78,            78,        ,CAN'T STOP THE FEELING,JUSTIN TIMBERLAKE,RCA,2,47,March 31 2017
14378,79,            80,        ,BELIEVER,IMAGINE DRAGONS,INTERSCOPE,42,8,March 31 2017
14379,80,            65,        ,ICE MELTS,DRAKE FT YOUNG THUG,CASH MONEY/REPUBLIC RECORDS,65,2,March 31 2017
14380,81,            62,        ,NOTHINGS INTO SOMETHINGS,DRAKE,CASH MONEY/REPUBLIC RECORDS,62,2,March 31 2017
14381,82,            79,        ,SHOUT OUT TO MY EX,LITTLE MIX,SYCO MUSIC,1,24,March 31 2017
14382,83,            91,        ,ISPY,KYLE FT LIL YACHTY,ATLANTIC,83,3,March 31 2017
14383,84,            81,        ,ONE DANCE,DRAKE FT WIZKID & KYLA,CASH MONEY/REPUBLIC RECORDS,1,52,March 31 2017
14384,85,            83,        ,WATERFALL,STARGATE FT PINK & SIA,INTERSTELLAR MUSIC/RCA,61,3,March 31 2017
14385,86,            New,        ,PRIVACY,CHRIS BROWN,RCA,86,1,March 31 2017
14386,87,            New,        ,SATURNZ BARZ,GORILLAZ FT POPCAAN,PARLOPHONE,87,1,March 31 2017
14387,88,            Re,        ,GIANTS,TAKE THAT,POLYDOR,13,3,March 31 2017
14388,89,            63,        ,SINCE WAY BACK,DRAKE FT PARTYNEXTDOOR,CASH MONEY/REPUBLIC RECORDS,63,2,March 31 2017
14389,90,            87,        ,YOU WANT ME,TOM ZANETTI FT SADIE AMA,PITCHED UP,22,23,March 31 2017
14390,91,            New,        ,ASCENSION,GORILLAZ FT VINCE STAPLES,PARLOPHONE,91,1,March 31 2017
14391,92,            72,        ,BEAUTY AND THE BEAST,ARIANA GRANDE & JOHN LEGEND,WALT DISNEY,52,4,March 31 2017
14392,93,            90,        ,STARVING,HAILEE STEINFELD/GREY/ZEDD,REPUBLIC RECORDS,5,33,March 31 2017
14393,94,            85,        ,SAFE INSIDE,JAMES ARTHUR,SYCO MUSIC,31,9,March 31 2017
